HB,Month,FirstContactAppointments,FirstContactAppointmentsQF,DidNotAttends,DidNotAttendsQF,TotalAppointments,TotalAppointmentsQF
S08000015,202503,97,,11,,108,
S08000016,202503,12,,7,,19,
S08000017,202503,188,,1,,189,
S08000019,202503,73,,8,,81,
S08000020,202503,201,,17,,218,
S08000022,202503,63,,4,,67,
S08000024,202503,315,,33,,348,
S08000025,202503,11,,1,,12,
S08000026,202503,16,,2,,18,
S08000028,202503,10,,0,,10,
S08000029,202503,129,,7,,136,
S08000030,202503,96,,7,,103,
S08000031,202503,326,,34,,360,
S08000032,202503,163,,44,,207,
S92000003,202503,1700,d,176,d,1876,d
S08000015,202502,82,,9,,91,
S08000016,202502,15,,4,,19,
S08000017,202502,160,,2,,162,
S08000019,202502,83,,9,,92,
S08000020,202502,177,,8,,185,
S08000022,202502,101,,15,,116,
S08000024,202502,337,,28,,365,
S08000025,202502,6,,0,,6,
S08000026,202502,6,,3,,9,
S08000028,202502,13,,2,,15,
S08000029,202502,100,,9,,109,
S08000030,202502,94,,6,,100,
S08000031,202502,317,,34,,351,
S08000032,202502,205,,52,,257,
S92000003,202502,1696,d,181,d,1877,d
S08000015,202501,88,,7,,95,
S08000016,202501,13,,1,,14,
S08000017,202501,137,,2,,139,
S08000019,202501,77,,11,,88,
S08000020,202501,188,,20,,208,
S08000022,202501,77,,5,,82,
S08000024,202501,334,,33,,367,
S08000025,202501,7,,3,,10,
S08000026,202501,9,,1,,10,
S08000028,202501,13,,2,,15,
S08000029,202501,111,,12,,123,
S08000030,202501,77,,11,,88,
S08000031,202501,333,,33,,366,
S08000032,202501,138,,20,,158,
S92000003,202501,1602,d,161,d,1763,d
S08000015,202412,70,,10,,80,
S08000016,202412,18,,2,,20,
S08000017,202412,107,,2,,109,
S08000019,202412,54,,5,,59,
S08000020,202412,186,,8,,194,
S08000022,202412,72,,7,,79,
S08000024,202412,324,,29,,353,
S08000025,202412,5,,2,,7,
S08000026,202412,5,,1,,6,
S08000028,202412,12,,0,,12,
S08000029,202412,78,,9,,87,
S08000030,202412,88,,13,,101,
S08000031,202412,230,,26,,256,
S08000032,202412,96,,22,,118,
S92000003,202412,1345,d,136,d,1481,d
S08000015,202411,96,,6,,102,
S08000016,202411,25,,4,,29,
S08000017,202411,116,,2,,118,
S08000019,202411,90,,6,,96,
S08000020,202411,199,,17,,216,
S08000022,202411,118,,7,,125,
S08000024,202411,386,,29,,415,
S08000025,202411,9,,1,,10,
S08000026,202411,10,,2,,12,
S08000028,202411,22,,1,,23,
S08000029,202411,141,,9,,150,
S08000030,202411,72,,10,,82,
S08000031,202411,338,,25,,363,
S08000032,202411,170,,40,,210,
S92000003,202411,1792,d,159,d,1951,d
S08000015,202410,101,,6,,107,
S08000016,202410,21,,2,,23,
S08000017,202410,136,,3,,139,
S08000019,202410,99,,6,,105,
S08000020,202410,170,,19,,189,
S08000022,202410,90,,15,,105,
S08000024,202410,399,,43,,442,
S08000025,202410,10,,5,,15,
S08000026,202410,9,,0,,9,
S08000028,202410,10,,1,,11,
S08000029,202410,131,,12,,143,
S08000030,202410,83,,9,,92,
S08000031,202410,289,,25,,314,
S08000032,202410,197,,31,,228,
S92000003,202410,1745,d,177,d,1922,d
S08000015,202409,80,,9,,89,
S08000016,202409,16,,0,,16,
S08000017,202409,120,,4,,124,
S08000019,202409,76,,6,,82,
S08000020,202409,165,,15,,180,
S08000022,202409,103,,8,,111,
S08000024,202409,346,,35,,381,
S08000025,202409,8,,1,,9,
S08000026,202409,14,,1,,15,
S08000028,202409,15,,1,,16,
S08000029,202409,157,,17,,174,
S08000030,202409,95,,6,,101,
S08000031,202409,298,,24,,322,
S08000032,202409,102,,17,,119,
S92000003,202409,1595,d,144,d,1739,d
S08000015,202408,70,,7,,77,
S08000016,202408,8,,1,,9,
S08000017,202408,95,,4,,99,
S08000019,202408,100,,3,,103,
S08000020,202408,171,,27,,198,
S08000022,202408,89,,14,,103,
S08000024,202408,343,,45,,388,
S08000025,202408,9,,1,,10,
S08000026,202408,6,,4,,10,
S08000028,202408,7,,0,,7,
S08000029,202408,115,,10,,125,
S08000030,202408,87,,11,,98,
S08000031,202408,255,,34,,289,
S08000032,202408,106,,21,,127,
S92000003,202408,1461,d,182,d,1643,d
S08000015,202407,78,,8,,86,
S08000016,202407,22,,1,,23,
S08000017,202407,83,,5,,88,
S08000019,202407,84,,2,,86,
S08000020,202407,147,,14,,161,
S08000022,202407,90,,15,,105,
S08000024,202407,323,,60,,383,
S08000025,202407,10,,1,,11,
S08000026,202407,7,,2,,9,
S08000028,202407,7,,0,,7,
S08000029,202407,114,,9,,123,
S08000030,202407,91,,17,,108,
S08000031,202407,271,,42,,313,
S08000032,202407,268,,80,,348,
S92000003,202407,1595,d,256,d,1851,d
S08000015,202406,87,,6,,93,
S08000016,202406,4,,2,,6,
S08000017,202406,103,,5,,108,
S08000019,202406,93,,10,,103,
S08000020,202406,163,,11,,174,
S08000022,202406,94,,8,,102,
S08000024,202406,342,,42,,384,
S08000025,202406,12,,5,,17,
S08000026,202406,6,,1,,7,
S08000028,202406,19,,3,,22,
S08000029,202406,155,,11,,166,
S08000030,202406,88,,16,,104,
S08000031,202406,305,,30,,335,
S08000032,202406,116,,31,,147,
S92000003,202406,1587,d,181,d,1768,d
S08000015,202405,109,,13,,122,
S08000016,202405,18,,0,,18,
S08000017,202405,108,,2,,110,
S08000019,202405,123,,15,,138,
S08000020,202405,189,,13,,202,
S08000022,202405,119,,5,,124,
S08000024,202405,437,,58,,495,
S08000025,202405,10,,0,,10,
S08000026,202405,3,,0,,3,
S08000028,202405,19,,3,,22,
S08000029,202405,159,,12,,171,
S08000030,202405,109,,18,,127,
S08000031,202405,401,,23,,424,
S08000032,202405,126,,25,,151,
S92000003,202405,1930,d,187,d,2117,d
S08000015,202404,106,,13,,119,
S08000016,202404,18,,2,,20,
S08000017,202404,117,,2,,119,
S08000019,202404,111,,6,,117,
S08000020,202404,309,,22,,331,
S08000022,202404,89,,12,,101,
S08000024,202404,346,,53,,399,
S08000025,202404,5,,1,,6,
S08000026,202404,11,,1,,12,
S08000028,202404,11,,0,,11,
S08000029,202404,154,,9,,163,
S08000030,202404,80,,8,,88,
S08000031,202404,312,,33,,345,
S08000032,202404,288,,76,,364,
S92000003,202404,1957,d,238,d,2195,d
S08000015,202403,101,,7,,108,
S08000016,202403,28,,2,,30,
S08000017,202403,95,,6,,101,
S08000019,202403,124,,8,,132,
S08000020,202403,168,,11,,179,
S08000022,202403,83,,8,,91,
S08000024,202403,424,,44,,468,
S08000025,202403,12,,2,,14,
S08000026,202403,9,,1,,10,
S08000028,202403,18,,0,,18,
S08000029,202403,127,,6,,133,
S08000030,202403,84,,11,,95,
S08000031,202403,359,,40,,399,
S08000032,202403,118,,26,,144,
S92000003,202403,1750,d,172,d,1922,d
S08000015,202402,132,,12,,144,
S08000016,202402,29,,3,,32,
S08000017,202402,153,,1,,154,
S08000019,202402,148,,13,,161,
S08000020,202402,167,,11,,178,
S08000022,202402,96,,0,,96,
S08000024,202402,419,,63,,482,
S08000025,202402,6,,2,,8,
S08000026,202402,7,,0,,7,
S08000028,202402,10,,2,,12,
S08000029,202402,151,,12,,163,
S08000030,202402,101,,10,,111,
S08000031,202402,364,,29,,393,
S08000032,202402,137,,18,,155,
S92000003,202402,1920,d,176,d,2096,d
S08000015,202401,140,,15,,155,
S08000016,202401,28,,3,,31,
S08000017,202401,95,,6,,101,
S08000019,202401,106,,5,,111,
S08000020,202401,158,,10,,168,
S08000022,202401,74,,12,,86,
S08000024,202401,490,,74,,564,
S08000025,202401,7,,0,,7,
S08000026,202401,7,,1,,8,
S08000028,202401,5,,0,,5,
S08000029,202401,163,,10,,173,
S08000030,202401,128,,12,,140,
S08000031,202401,304,,32,,336,
S08000032,202401,122,,20,,142,
S92000003,202401,1827,d,200,d,2027,d
S08000015,202312,125,,30,,155,
S08000016,202312,11,,1,,12,
S08000017,202312,87,,10,,97,
S08000019,202312,62,,4,,66,
S08000020,202312,148,,10,,158,
S08000022,202312,68,,6,,74,
S08000024,202312,337,,50,,387,
S08000025,202312,6,,0,,6,
S08000026,202312,3,,0,,3,
S08000028,202312,9,,0,,9,
S08000029,202312,110,,7,,117,
S08000030,202312,133,,14,,147,
S08000031,202312,288,,26,,314,
S08000032,202312,97,,23,,120,
S92000003,202312,1484,d,181,d,1665,d
S08000015,202311,186,,36,,222,
S08000016,202311,30,,2,,32,
S08000017,202311,124,,8,,132,
S08000019,202311,110,,10,,120,
S08000020,202311,206,,17,,223,
S08000022,202311,90,,10,,100,
S08000024,202311,494,,64,,558,
S08000025,202311,4,,2,,6,
S08000026,202311,8,,0,,8,
S08000028,202311,14,,0,,14,
S08000029,202311,183,,9,,192,
S08000030,202311,162,,17,,179,
S08000031,202311,384,,48,,432,
S08000032,202311,142,,24,,166,
S92000003,202311,2137,d,247,d,2384,d
S08000015,202310,232,,33,,265,
S08000016,202310,40,,0,,40,
S08000017,202310,83,,5,,88,
S08000019,202310,83,,5,,88,
S08000020,202310,177,,8,,185,
S08000022,202310,77,,5,,82,
S08000024,202310,517,,68,,585,
S08000025,202310,13,,2,,15,
S08000026,202310,6,,1,,7,
S08000028,202310,10,,2,,12,
S08000029,202310,142,,13,,155,
S08000030,202310,141,,25,,166,
S08000031,202310,416,,55,,471,
S08000032,202310,150,,34,,184,
S92000003,202310,2087,d,256,d,2343,d
S08000015,202309,241,,31,,272,
S08000016,202309,27,,1,,28,
S08000017,202309,91,,10,,101,
S08000019,202309,40,,3,,43,
S08000020,202309,134,,8,,142,
S08000022,202309,75,,4,,79,
S08000024,202309,469,,33,,502,
S08000025,202309,15,,6,,21,
S08000026,202309,5,,3,,8,
S08000028,202309,9,,1,,10,
S08000029,202309,142,,15,,157,
S08000030,202309,116,,11,,127,
S08000031,202309,439,,64,,503,
S08000032,202309,114,,36,,150,
S92000003,202309,1917,d,226,d,2143,d
S08000015,202308,206,,36,,242,
S08000016,202308,39,,3,,42,
S08000017,202308,50,,5,,55,
S08000019,202308,79,,14,,93,
S08000020,202308,173,,13,,186,
S08000022,202308,63,,7,,70,
S08000024,202308,463,,55,,518,
S08000025,202308,13,,2,,15,
S08000026,202308,11,,1,,12,
S08000028,202308,6,,0,,6,
S08000029,202308,130,,10,,140,
S08000030,202308,121,,17,,138,
S08000031,202308,506,,74,,580,
S08000032,202308,242,,106,,348,
S92000003,202308,2102,d,343,d,2445,d
S08000015,202307,198,,37,,235,
S08000016,202307,31,,4,,35,
S08000017,202307,69,,9,,78,
S08000019,202307,79,,10,,89,
S08000020,202307,131,,8,,139,
S08000022,202307,56,,15,,71,
S08000024,202307,418,,50,,468,
S08000025,202307,17,,2,,19,
S08000026,202307,6,,4,,10,
S08000028,202307,4,,0,,4,
S08000029,202307,93,,12,,105,
S08000030,202307,74,,14,,88,
S08000031,202307,416,,82,,498,
S08000032,202307,215,,103,,318,
S92000003,202307,1807,d,350,d,2157,d
S08000015,202306,227,,28,,255,
S08000016,202306,34,,2,,36,
S08000017,202306,143,,5,,148,
S08000019,202306,62,,16,,78,
S08000020,202306,128,,7,,135,
S08000022,202306,98,,9,,107,
S08000024,202306,497,,59,,556,
S08000025,202306,12,,2,,14,
S08000026,202306,16,,0,,16,
S08000028,202306,14,,0,,14,
S08000029,202306,136,,17,,153,
S08000030,202306,129,,16,,145,
S08000031,202306,497,,85,,582,
S08000032,202306,233,,95,,328,
S92000003,202306,2226,d,341,d,2567,d
S08000015,202305,192,,45,,237,
S08000016,202305,38,,4,,42,
S08000017,202305,143,,4,,147,
S08000019,202305,122,,8,,130,
S08000020,202305,178,,11,,189,
S08000022,202305,94,,9,,103,
S08000024,202305,465,,43,,508,
S08000025,202305,17,,0,,17,
S08000026,202305,7,,1,,8,
S08000028,202305,10,,2,,12,
S08000029,202305,141,,20,,161,
S08000030,202305,150,,17,,167,
S08000031,202305,549,,72,,621,
S08000032,202305,255,,78,,333,
S92000003,202305,2361,d,314,d,2675,d
S08000015,202304,149,,20,,169,
S08000016,202304,29,,3,,32,
S08000017,202304,54,,4,,58,
S08000019,202304,95,,7,,102,
S08000020,202304,127,,5,,132,
S08000022,202304,84,,6,,90,
S08000024,202304,379,,34,,413,
S08000025,202304,12,,0,,12,
S08000026,202304,7,,3,,10,
S08000028,202304,15,,2,,17,
S08000029,202304,121,,22,,143,
S08000030,202304,104,,9,,113,
S08000031,202304,456,,76,,532,
S08000032,202304,206,,68,,274,
S92000003,202304,1838,d,259,d,2097,d
S08000015,202303,247,,35,,282,
S08000016,202303,34,,3,,37,
S08000017,202303,58,,2,,60,
S08000019,202303,87,,8,,95,
S08000020,202303,153,,13,,166,
S08000022,202303,99,,14,,113,
S08000024,202303,439,,48,,487,
S08000025,202303,8,,0,,8,
S08000026,202303,10,,1,,11,
S08000028,202303,11,,0,,11,
S08000029,202303,128,,14,,142,
S08000030,202303,120,,10,,130,
S08000031,202303,501,,67,,568,
S08000032,202303,231,,48,,279,
S92000003,202303,2126,d,263,d,2389,d
S08000015,202302,207,,36,,243,
S08000016,202302,46,,3,,49,
S08000017,202302,82,,1,,83,
S08000019,202302,83,,7,,90,
S08000020,202302,151,,8,,159,
S08000022,202302,124,,5,,129,
S08000024,202302,380,,37,,417,
S08000025,202302,7,,0,,7,
S08000026,202302,10,,3,,13,
S08000028,202302,15,,0,,15,
S08000029,202302,179,,27,,206,
S08000030,202302,120,,13,,133,
S08000031,202302,452,,50,,502,
S08000032,202302,215,,60,,275,
S92000003,202302,2071,d,250,d,2321,d
S08000015,202301,150,,32,,182,
S08000016,202301,49,,2,,51,
S08000017,202301,77,,6,,83,
S08000019,202301,116,,4,,120,
S08000020,202301,131,,17,,148,
S08000022,202301,165,,11,,176,
S08000024,202301,341,,37,,378,
S08000025,202301,7,,0,,7,
S08000026,202301,14,,10,,24,
S08000028,202301,11,,0,,11,
S08000029,202301,152,,26,,178,
S08000030,202301,120,,13,,133,
S08000031,202301,420,,51,,471,
S08000032,202301,165,,94,,259,
S92000003,202301,1918,d,303,d,2221,d
S08000015,202212,208,,43,,251,
S08000016,202212,41,,3,,44,
S08000017,202212,76,,3,,79,
S08000019,202212,93,,4,,97,
S08000020,202212,131,,8,,139,
S08000022,202212,106,,22,,128,
S08000024,202212,494,,38,,532,
S08000025,202212,15,,0,,15,
S08000026,202212,7,,0,,7,
S08000028,202212,13,,0,,13,
S08000029,202212,165,,22,,187,
S08000030,202212,99,,15,,114,
S08000031,202212,408,,75,,483,
S08000032,202212,197,,68,,265,
S92000003,202212,2053,d,301,d,2354,d
S08000015,202211,317,,55,,372,
S08000016,202211,66,,2,,68,
S08000017,202211,115,,9,,124,
S08000019,202211,123,,13,,136,
S08000020,202211,172,,9,,181,
S08000022,202211,179,,19,,198,
S08000024,202211,494,,38,,532,
S08000025,202211,27,,0,,27,
S08000026,202211,11,,0,,11,
S08000028,202211,20,,1,,21,
S08000029,202211,196,,30,,226,
S08000030,202211,146,,10,,156,
S08000031,202211,622,,81,,703,
S08000032,202211,314,,81,,395,
S92000003,202211,2802,d,348,d,3150,d
S08000015,202210,138,,15,,153,
S08000016,202210,51,,0,,51,
S08000017,202210,88,,13,,101,
S08000019,202210,89,,5,,94,
S08000020,202210,156,,12,,168,
S08000022,202210,106,,13,,119,
S08000024,202210,452,,48,,500,
S08000025,202210,13,,0,,13,
S08000026,202210,6,,0,,6,
S08000028,202210,15,,2,,17,
S08000029,202210,169,,39,,208,
S08000030,202210,136,,15,,151,
S08000031,202210,583,,70,,653,
S08000032,202210,262,,72,,334,
S92000003,202210,2264,d,304,d,2568,d
S08000015,202209,112,,10,,122,
S08000016,202209,49,,1,,50,
S08000017,202209,77,,3,,80,
S08000019,202209,105,,10,,115,
S08000020,202209,,:,,:,,:
S08000022,202209,126,,7,,133,
S08000024,202209,430,,46,,476,
S08000025,202209,5,,0,,5,
S08000026,202209,10,,1,,11,
S08000028,202209,10,,1,,11,
S08000029,202209,187,,32,,219,
S08000030,202209,134,,13,,147,
S08000031,202209,535,,76,,611,
S08000032,202209,250,,36,,286,
S92000003,202209,2030,d y,236,d y,2266,d y
S08000015,202208,114,,31,,145,
S08000016,202208,53,,3,,56,
S08000017,202208,95,,9,,104,
S08000019,202208,109,,13,,122,
S08000020,202208,,:,,:,,:
S08000022,202208,135,,15,,150,
S08000024,202208,518,,50,,568,
S08000025,202208,14,,0,,14,
S08000026,202208,10,,5,,15,
S08000028,202208,15,,0,,15,
S08000029,202208,134,,34,,168,
S08000030,202208,108,,8,,116,
S08000031,202208,545,,86,,631,
S08000032,202208,214,,37,,251,
S92000003,202208,2064,d y,291,d y,2355,d y
S08000015,202207,81,,21,,102,
S08000016,202207,43,,4,,47,
S08000017,202207,89,,10,,99,
S08000019,202207,48,,2,,50,
S08000020,202207,,:,,:,,:
S08000022,202207,73,,7,,80,
S08000024,202207,351,,45,,396,
S08000025,202207,15,,0,,15,
S08000026,202207,6,,0,,6,
S08000028,202207,8,,1,,9,
S08000029,202207,144,,28,,172,
S08000030,202207,82,,10,,92,
S08000031,202207,493,,93,,586,
S08000032,202207,81,,16,,97,
S92000003,202207,1514,d y,237,d y,1751,d y
S08000015,202206,106,,15,,121,
S08000016,202206,47,,1,,48,
S08000017,202206,100,,5,,105,
S08000019,202206,71,,7,,78,
S08000020,202206,,:,,:,,:
S08000022,202206,111,,5,,116,
S08000024,202206,386,,45,,431,
S08000025,202206,9,,0,,9,
S08000026,202206,12,,1,,13,
S08000028,202206,12,,1,,13,
S08000029,202206,187,,33,,220,
S08000030,202206,103,,10,,113,
S08000031,202206,585,,95,,680,
S08000032,202206,90,,11,,101,
S92000003,202206,1819,d y,229,d y,2048,d y
S08000015,202205,141,,23,,164,
S08000016,202205,34,,1,,35,
S08000017,202205,130,,13,,143,
S08000019,202205,52,,4,,56,
S08000020,202205,,:,,:,,:
S08000022,202205,41,,2,,43,
S08000024,202205,395,,43,,438,
S08000025,202205,9,,0,,9,
S08000026,202205,11,,1,,12,
S08000028,202205,20,,0,,20,
S08000029,202205,218,,36,,254,
S08000030,202205,117,,16,,133,
S08000031,202205,643,,108,,751,
S08000032,202205,105,,8,,113,
S92000003,202205,1916,d y,255,d y,2171,d y
S08000015,202204,129,,16,,145,
S08000016,202204,26,,0,,26,
S08000017,202204,62,,12,,74,
S08000019,202204,50,,4,,54,
S08000020,202204,,:,,:,,:
S08000022,202204,88,,5,,93,
S08000024,202204,296,,48,,344,
S08000025,202204,8,,0,,8,
S08000026,202204,3,,5,,8,
S08000028,202204,16,,2,,18,
S08000029,202204,151,,30,,181,
S08000030,202204,126,,27,,153,
S08000031,202204,573,,105,,678,
S08000032,202204,76,,6,,82,
S92000003,202204,1604,d y,260,d y,1864,d y
S08000015,202203,177,,20,,197,
S08000016,202203,34,,0,,34,
S08000017,202203,110,,10,,120,
S08000019,202203,79,,5,,84,
S08000020,202203,,:,,:,,:
S08000022,202203,117,,5,,122,
S08000024,202203,354,,39,,393,
S08000025,202203,17,,0,,17,
S08000026,202203,8,,3,,11,
S08000028,202203,11,,0,,11,
S08000029,202203,235,,35,,270,
S08000030,202203,130,,17,,147,
S08000031,202203,596,,82,,678,
S08000032,202203,111,,6,,117,
S92000003,202203,1979,d y,222,d y,2201,d y
S08000015,202202,151,,28,,179,
S08000016,202202,24,,4,,28,
S08000017,202202,77,,7,,84,
S08000019,202202,101,,8,,109,
S08000020,202202,,:,,:,,:
S08000022,202202,97,,6,,103,
S08000024,202202,302,,38,,340,
S08000025,202202,9,,0,,9,
S08000026,202202,8,,2,,10,
S08000028,202202,8,,0,,8,
S08000029,202202,194,,24,,218,
S08000030,202202,105,,18,,123,
S08000031,202202,487,,66,,553,
S08000032,202202,67,,9,,76,
S92000003,202202,1630,d y,210,d y,1840,d y
S08000015,202201,112,,38,,150,
S08000016,202201,29,,4,,33,
S08000017,202201,95,,3,,98,
S08000019,202201,27,,3,,30,
S08000020,202201,,:,,:,,:
S08000022,202201,72,,2,,74,
S08000024,202201,304,,39,,343,
S08000025,202201,11,,0,,11,
S08000026,202201,5,,4,,9,
S08000028,202201,7,,0,,7,
S08000029,202201,188,,30,,218,
S08000030,202201,136,,17,,153,
S08000031,202201,432,,72,,504,
S08000032,202201,63,,5,,68,
S92000003,202201,1481,d y,217,d y,1698,d y
S08000015,202112,95,,12,,107,
S08000016,202112,19,,3,,22,
S08000017,202112,89,,3,,92,
S08000019,202112,30,,5,,35,
S08000020,202112,,:,,:,,:
S08000022,202112,91,,3,,94,
S08000024,202112,319,,30,,349,
S08000025,202112,,:,,:,,:
S08000026,202112,8,,2,,10,
S08000028,202112,15,,0,,15,
S08000029,202112,142,,30,,172,
S08000030,202112,136,,14,,150,
S08000031,202112,458,,97,,555,
S08000032,202112,96,,13,,109,
S92000003,202112,1498,d y,212,d y,1710,d y
S08000015,202111,139,,22,,161,
S08000016,202111,34,,1,,35,
S08000017,202111,140,,3,,143,
S08000019,202111,37,,8,,45,
S08000020,202111,,:,,:,,:
S08000022,202111,144,,4,,148,
S08000024,202111,405,,48,,453,
S08000025,202111,,:,,:,,:
S08000026,202111,11,,0,,11,
S08000028,202111,18,,0,,18,
S08000029,202111,207,,45,,252,
S08000030,202111,151,,14,,165,
S08000031,202111,572,,74,,646,
S08000032,202111,153,,10,,163,
S92000003,202111,2011,d y,229,d y,2240,d y
S08000015,202110,106,,18,,124,
S08000016,202110,16,,2,,18,
S08000017,202110,69,,2,,71,
S08000019,202110,54,,5,,59,
S08000020,202110,,:,,:,,:
S08000022,202110,67,,9,,76,
S08000024,202110,326,,34,,360,
S08000025,202110,,:,,:,,:
S08000026,202110,3,,1,,4,
S08000028,202110,7,,1,,8,
S08000029,202110,149,,30,,179,
S08000030,202110,123,,12,,135,
S08000031,202110,534,,77,,611,
S08000032,202110,103,,2,,105,
S92000003,202110,1557,d y,193,d y,1750,d y
S08000015,202109,141,,21,,162,
S08000016,202109,16,,5,,21,
S08000017,202109,67,,1,,68,
S08000019,202109,37,,5,,42,
S08000020,202109,,:,,:,,:
S08000022,202109,71,,4,,75,
S08000024,202109,362,,38,,400,
S08000025,202109,,:,,:,,:
S08000026,202109,9,,2,,11,
S08000028,202109,15,,2,,17,
S08000029,202109,198,,35,,233,
