HB,Month,ReferralsAccepted,ReferralsAcceptedQF,ReferralsReceived,ReferralsReceivedQF
S08000023,201610,236,,301,
S08000024,201610,358,,470,
S08000025,201610,8,,8,
S08000026,201610,2,,2,
S08000027,201610,130,,190,
S08000028,201610,14,,14,
S92000003,201610,2006,d,2663,d
S08000015,201609,144,,179,
S08000016,201609,63,,78,
S08000017,201609,66,,85,
S08000018,201609,210,,239,
S08000019,201609,139,,172,
S08000020,201609,227,,267,
S08000021,201609,453,,700,
S08000022,201609,170,,172,
S08000023,201609,265,,331,
S08000024,201609,408,,531,
S08000025,201609,6,,6,
S08000026,201609,14,,14,
S08000027,201609,197,,287,
S08000028,201609,18,,18,
S92000003,201609,2380,d,3079,d
S08000015,201608,137,,160,
S08000016,201608,34,,51,
S08000017,201608,57,,75,
S08000018,201608,162,,187,
S08000019,201608,99,,125,
S08000020,201608,128,,165,
S08000021,201608,342,,515,
S08000022,201608,107,,114,
S08000023,201608,172,,220,
S08000024,201608,319,,403,
S08000025,201608,0,,0,
S08000026,201608,5,,5,
S08000027,201608,122,,172,
S08000028,201608,5,,5,
S92000003,201608,1689,d,2197,d
S08000015,201607,99,,127,
S08000016,201607,35,,46,
S08000017,201607,40,,50,
S08000018,201607,180,,212,
S08000019,201607,94,,113,
S08000020,201607,99,,171,
S08000021,201607,260,,380,
S08000022,201607,81,,85,
S08000023,201607,144,,180,
S08000024,201607,301,,381,
S08000025,201607,5,,5,
S08000026,201607,1,,1,
S08000027,201607,101,,127,
S08000028,201607,7,,7,
S92000003,201607,1447,d,1885,d
S08000015,201606,179,,217,
S08000016,201606,52,,66,
S08000017,201606,89,,98,
S08000018,201606,181,,215,
S08000019,201606,149,,172,
S08000020,201606,233,,274,
S08000021,201606,428,,673,
S08000022,201606,149,,150,
S08000023,201606,221,,298,
S08000024,201606,419,,548,
S08000025,201606,5,,5,
S08000026,201606,5,,5,
S08000027,201606,184,,249,
S08000028,201606,19,,19,
S92000003,201606,2313,d,2989,d
S08000015,201605,155,,180,
S08000016,201605,40,,45,
S08000017,201605,94,,108,
S08000018,201605,167,,201,
S08000019,201605,112,,146,
S08000020,201605,206,,247,
S08000021,201605,389,,543,
S08000022,201605,132,,132,
S08000023,201605,248,,326,
S08000024,201605,426,,519,
S08000025,201605,6,,6,
S08000026,201605,1,,1,
S08000027,201605,152,,195,
S08000028,201605,15,,15,
S92000003,201605,2143,d,2664,d
S08000015,201604,116,,153,
S08000016,201604,42,,49,
S08000017,201604,88,,103,
S08000018,201604,179,,211,
S08000019,201604,110,,125,
S08000020,201604,190,,210,
S08000021,201604,376,,543,
S08000022,201604,133,,139,
S08000023,201604,243,,311,
S08000024,201604,479,,541,
S08000025,201604,2,,2,
S08000026,201604,4,,4,
S08000027,201604,133,,173,
S08000028,201604,6,,6,
S92000003,201604,2101,d,2570,d
S08000015,201603,172,,204,
S08000016,201603,60,,70,
S08000017,201603,94,,115,
S08000018,201603,196,,238,
S08000019,201603,141,,174,
S08000020,201603,240,,262,
S08000021,201603,437,,702,
S08000022,201603,131,,133,
S08000023,201603,348,,415,
S08000024,201603,529,,597,
S08000025,201603,0,,0,
S08000026,201603,5,,5,
S08000027,201603,201,,272,
S08000028,201603,19,,19,
S92000003,201603,2573,d,3206,d
S08000015,201602,192,,219,
S08000016,201602,51,,59,
S08000017,201602,83,,106,
S08000018,201602,182,,212,
S08000019,201602,132,,164,
S08000020,201602,244,,306,
S08000021,201602,446,,690,
S08000022,201602,143,,149,
S08000023,201602,281,,340,
S08000024,201602,575,,634,
S08000025,201602,2,,2,
S08000026,201602,6,,6,
S08000027,201602,174,,229,
S08000028,201602,15,,15,
S92000003,201602,2526,d,3131,d
S08000015,201601,143,,170,
S08000016,201601,44,,50,
S08000017,201601,73,,90,
S08000018,201601,190,,216,
S08000019,201601,115,,151,
S08000020,201601,203,,244,
S08000021,201601,387,,592,
S08000022,201601,126,,127,
S08000023,201601,221,,248,
S08000024,201601,417,,457,
S08000025,201601,11,,11,
S08000026,201601,5,,5,
S08000027,201601,145,,183,
S08000028,201601,15,,15,
S92000003,201601,2095,d,2559,d
S08000015,201512,164,,192,
S08000016,201512,48,,55,
S08000017,201512,76,,90,
S08000018,201512,157,,209,
S08000019,201512,130,,144,
S08000020,201512,230,,282,
S08000021,201512,416,,657,
S08000022,201512,97,,141,
S08000023,201512,262,,295,
S08000024,201512,504,,550,
S08000025,201512,8,,8,
S08000026,201512,10,,11,
S08000027,201512,160,,201,
S08000028,201512,9,,9,
S92000003,201512,2271,d,2844,d
S08000015,201511,188,,221,
S08000016,201511,47,,53,
S08000017,201511,75,,92,
S08000018,201511,194,,237,
S08000019,201511,155,,174,
S08000020,201511,206,,258,
S08000021,201511,466,,704,
S08000022,201511,200,,205,
S08000023,201511,208,,235,
S08000024,201511,560,,601,
S08000025,201511,6,,6,
S08000026,201511,12,,16,
S08000027,201511,170,,225,
S08000028,201511,13,,13,
S92000003,201511,2500,d,3040,d
S08000015,201510,150,,172,
S08000016,201510,51,,60,
S08000017,201510,63,,75,
S08000018,201510,165,,191,
S08000019,201510,120,,129,
S08000020,201510,227,,267,
S08000021,201510,430,,622,
S08000022,201510,,:,,:
S08000023,201510,285,,330,
S08000024,201510,472,,507,
S08000025,201510,10,,10,
S08000026,201510,4,,4,
S08000027,201510,137,,192,
S08000028,201510,7,,7,
S92000003,201510,2121,d y,2566,d y
S08000015,201509,154,,171,
S08000016,201509,51,,62,
S08000017,201509,91,,114,
S08000018,201509,167,,189,
S08000019,201509,185,,191,
S08000020,201509,265,,313,
S08000021,201509,481,,732,
S08000022,201509,,:,,:
S08000023,201509,299,,342,
S08000024,201509,497,,535,
S08000025,201509,7,,7,
S08000026,201509,2,,2,
S08000027,201509,153,,201,
S08000028,201509,8,,8,
S92000003,201509,2360,d y,2867,d y
S08000015,201508,103,,124,
S08000016,201508,43,,45,
S08000017,201508,63,,76,
S08000018,201508,93,,109,
S08000019,201508,120,,128,
S08000020,201508,135,,182,
S08000021,201508,318,,469,
S08000022,201508,,:,,:
S08000023,201508,200,,220,
S08000024,201508,406,,429,
S08000025,201508,0,,0,
S08000026,201508,2,,2,
S08000027,201508,103,,138,
S08000028,201508,8,,8,
S92000003,201508,1594,d y,1930,d y
S08000015,201507,88,,117,
S08000016,201507,39,,42,
S08000017,201507,50,,63,
S08000018,201507,126,,146,
S08000019,201507,94,,99,
S08000020,201507,120,,181,
S08000021,201507,319,,474,
S08000022,201507,,:,,:
S08000023,201507,153,,169,
S08000024,201507,434,,454,
S08000025,201507,5,,5,
S08000026,201507,4,,4,
S08000027,201507,107,,171,
S08000028,201507,9,,10,
S92000003,201507,1548,d y,1935,d y
S08000015,201506,113,,156,
S08000016,201506,51,,58,
S08000017,201506,77,,92,
S08000018,201506,155,,173,
S08000019,201506,156,,177,
S08000020,201506,203,,248,
S08000021,201506,434,,680,
S08000022,201506,,:,,:
S08000023,201506,232,,253,
S08000024,201506,567,,615,
S08000025,201506,7,,7,
S08000026,201506,,:,,:
S08000027,201506,155,,221,
S08000028,201506,16,,16,
S92000003,201506,2166,d y,2696,d y
S08000015,201505,97,,118,u
S08000016,201505,54,,62,u
S08000017,201505,65,,78,u
S08000018,201505,183,,209,u
S08000019,201505,108,,141,u
S08000020,201505,239,,282,u
S08000021,201505,395,,587,u
S08000022,201505,,:,,:
S08000023,201505,190,,213,
S08000024,201505,480,,518,
S08000025,201505,4,,4,
S08000026,201505,,:,,:
S08000027,201505,137,,196,
S08000028,201505,12,,12,
S92000003,201505,1964,d y,2420,d y
S08000015,201504,112,,132,
S08000016,201504,44,,52,
S08000017,201504,79,,87,
S08000018,201504,139,,157,
S08000019,201504,109,,114,
S08000020,201504,212,,252,
S08000021,201504,372,,548,
S08000022,201504,,:,,:
S08000023,201504,205,,241,
S08000024,201504,435,,474,
S08000025,201504,4,,4,
S08000026,201504,,:,,:
S08000027,201504,136,,195,
S08000028,201504,11,,11,
S92000003,201504,1858,d y,2267,d y
S08000015,201503,152,,198,
S08000016,201503,49,,56,
S08000017,201503,118,,131,
S08000018,201503,199,,242,
S08000019,201503,132,,137,
S08000020,201503,247,,305,
S08000021,201503,528,,777,
S08000022,201503,,:,,:
S08000023,201503,265,,291,
S08000024,201503,507,,542,
S08000025,201503,5,,5,
S08000026,201503,,:,,:
S08000027,201503,173,,240,
S08000028,201503,17,,18,
S92000003,201503,2392,d y,2942,d y
S08000015,201502,132,,193,
S08000016,201502,57,,64,
S08000017,201502,75,,93,
S08000018,201502,131,,161,
S08000019,201502,121,,130,
S08000020,201502,215,,261,
S08000021,201502,488,,706,
S08000022,201502,,:,,:
S08000023,201502,274,,294,
S08000024,201502,451,,491,
S08000025,201502,3,,5,
S08000026,201502,4,,6,
S08000027,201502,152,,191,
S08000028,201502,14,,14,
S92000003,201502,2117,d y,2609,d y 
S08000015,201501,121,,157,
S08000016,201501,50,,55,
S08000017,201501,79,,93,
S08000018,201501,154,,180,
S08000019,201501,102,,108,
S08000020,201501,221,,252,
S08000021,201501,444,,662,
S08000022,201501,,:,,:
S08000023,201501,230,,246,
S08000024,201501,395,,422,
S08000025,201501,13,,14,
S08000026,201501,13,,16,
S08000027,201501,128,,197,
S08000028,201501,13,,13,
S92000003,201501,1963,d y,2415,d y
S08000015,201412,119,,153,
S08000016,201412,44,,52,
S08000017,201412,79,,101,
S08000018,201412,141,,157,
S08000019,201412,98,,106,
S08000020,201412,232,,279,
S08000021,201412,422,,618,
S08000022,201412,,:,,:
S08000023,201412,207,,235,
S08000024,201412,423,,458,
S08000025,201412,3,,3,
S08000026,201412,10,,11,
S08000027,201412,133,,202,
S08000028,201412,12,,12,
S92000003,201412,1923,d y,2387,d y
S08000015,201411,125,,176,
S08000016,201411,47,,53,
S08000017,201411,71,,96,
S08000018,201411,146,,165,
S08000019,201411,107,,113,
S08000020,201411,178,,227,
S08000021,201411,580,,804,
S08000022,201411,,:,,:
S08000023,201411,236,,261,
S08000024,201411,446,,480,
S08000025,201411,9,,13,
S08000026,201411,12,,15,
S08000027,201411,118,,162,
S08000028,201411,13,,13,
S92000003,201411,2088,d y,2578,d y
S08000015,201410,120,,165,
S08000016,201410,59,,70,
S08000017,201410,85,,112,
S08000018,201410,146,,169,
S08000019,201410,96,,101,
S08000020,201410,214,,268,
S08000021,201410,519,,682,
S08000022,201410,,:,,:
S08000023,201410,241,,281,
S08000024,201410,461,,498,
S08000025,201410,9,,12,
S08000026,201410,5,,6,
S08000027,201410,148,,184,
S08000028,201410,5,,5,
S92000003,201410,2108,d y,2553,d y
S08000015,201409,89,,131,
S08000016,201409,63,,73,
S08000017,201409,85,,102,
S08000018,201409,169,,189,
S08000019,201409,101,,128,
S08000020,201409,204,,238,
S08000021,201409,514,,694,
S08000022,201409,,:,,:
S08000023,201409,228,,253,
S08000024,201409,356,,381,
S08000025,201409,8,,8,
S08000026,201409,16,,17,
S08000027,201409,136,,189,
S08000028,201409,7,,7,
S92000003,201409,1976,d y,2410,d y
S08000015,201408,81,,101,
S08000016,201408,29,,32,
S08000017,201408,46,,59,
S08000018,201408,133,,147,
S08000019,201408,76,,94,
S08000020,201408,122,,172,
S08000021,201408,396,,521,
S08000022,201408,,:,,:
S08000023,201408,158,,181,
S08000024,201408,267,,291,
S08000025,201408,1,,2,
S08000026,201408,6,,6,
S08000027,201408,70,,120,
S08000028,201408,7,,7,
S92000003,201408,1392,d y,1733,d y
S08000015,201407,70,,102,
S08000016,201407,31,,32,
S08000017,201407,52,,64,
S08000018,201407,110,,122,
S08000019,201407,64,,85,
S08000020,201407,139,,192,
S08000021,201407,366,,518,
S08000022,201407,,:,,:
S08000023,201407,120,,127,
S08000024,201407,,:,,:
S08000025,201407,5,,5,
S08000026,201407,4,,8,
S08000027,201407,35,,125,
S08000028,201407,5,,5,
S92000003,201407,1001,d y,1385,d y
S08000015,201406,90,,140,
S08000016,201406,40,,43,
S08000017,201406,49,,60,
S08000018,201406,91,,107,
S08000019,201406,77,,120,
S08000020,201406,186,,232,
S08000021,201406,0,,626,
S08000022,201406,,:,,:
S08000023,201406,290,,310,
S08000024,201406,,:,,:
S08000025,201406,4,,5,
S08000026,201406,7,,9,
S08000027,201406,61,,223,
S08000028,201406,9,,9,
S92000003,201406,904,d y,1884,d y
S08000015,201405,77,,132,
S08000016,201405,57,,67,
S08000017,201405,85,,104,
S08000018,201405,148,,170,
S08000019,201405,75,,114,
S08000020,201405,200,,223,
S08000021,201405,411,,574,
S08000022,201405,,:,,:
S08000023,201405,293,,328,
S08000024,201405,351,,400,
S08000025,201405,13,,14,
S08000026,201405,10,,13,
S08000027,201405,103,,169,
S08000028,201405,5,,5,
S92000003,201405,1828,d y,2313,d y
S08000015,201404,73,,108,
S08000016,201404,46,,58,
S08000017,201404,55,,77,
S08000018,201404,99,,112,
S08000019,201404,75,,102,
S08000020,201404,201,,226,
S08000021,201404,385,,516,
S08000022,201404,,:,,:
S08000023,201404,309,,342,
S08000024,201404,288,,329,
S08000025,201404,4,,4,
S08000026,201404,8,,11,
S08000027,201404,81,,195,
S08000028,201404,7,,7,
S92000003,201404,1631,d y,2087,d y
S08000015,201403,118,,174,
S08000016,201403,32,,48,
S08000017,201403,76,,87,
S08000018,201403,161,,199,
S08000019,201403,105,,151,
S08000020,201403,201,,274,
S08000021,201403,650,,676,
S08000022,201403,,:,,:
S08000023,201403,224,,257,
S08000024,201403,411,,466,
S08000025,201403,10,,10,
S08000026,201403,12,,15,
S08000027,201403,142,,208,
S08000028,201403,7,,7,
S92000003,201403,2149,d y,2572,d y
S08000015,201402,139,,168,
S08000016,201402,52,,57,
S08000017,201402,92,,107,
S08000018,201402,122,,162,
S08000019,201402,96,,127,
S08000020,201402,226,,277,
S08000021,201402,453,,638,
S08000022,201402,100,,132,
S08000023,201402,241,,274,
S08000024,201402,387,,426,
S08000025,201402,5,,5,
S08000026,201402,10,,18,
S08000027,201402,132,,198,
S08000028,201402,14,,14,
S92000003,201402,2069,d,2603,d
S08000015,201401,133,,170,
S08000016,201401,48,,53,
S08000017,201401,67,,77,
S08000018,201401,167,,202,
S08000019,201401,74,,110,
S08000020,201401,150,,208,
S08000021,201401,471,,580,
S08000022,201401,131,,139,
S08000023,201401,254,,304,
S08000024,201401,331,,377,
S08000025,201401,0,,10,
S08000026,201401,10,,13,
S08000027,201401,131,,199,
S08000028,201401,3,,3,
S92000003,201401,1970,d,2445,d
S08000015,201312,108,,132,
S08000016,201312,63,,69,
S08000017,201312,97,,104,
S08000018,201312,161,,186,
S08000019,201312,81,,107,
S08000020,201312,167,,233,
S08000021,201312,362,,478,
S08000022,201312,100,,115,
S08000023,201312,215,,257,
S08000024,201312,350,,410,
S08000025,201312,7,,8,
S08000026,201312,7,,11,
S08000027,201312,149,,201,
S08000028,201312,3,,3,
S92000003,201312,1870,d,2314,d
S08000015,201311,125,,169,
S08000016,201311,39,,50,
S08000017,201311,102,,105,
S08000018,201311,135,,176,
S08000019,201311,105,,119,
S08000020,201311,0,,242,
S08000021,201311,474,,613,
S08000022,201311,138,,165,
S08000023,201311,235,,273,
S08000024,201311,368,,421,
S08000025,201311,9,,9,
S08000026,201311,8,,10,
S08000027,201311,126,,224,
S08000028,201311,3,,3,
S92000003,201311,1867,d,2579,d
S08000015,201310,128,,157,
S08000016,201310,57,,63,
S08000017,201310,70,,79,
S08000018,201310,149,,164,
S08000019,201310,76,,112,
S08000020,201310,161,,233,
S08000021,201310,416,,574,
S08000022,201310,69,,111,
S08000023,201310,273,,308,
S08000024,201310,351,,391,
S08000025,201310,11,,11,
S08000026,201310,7,,12,
S08000027,201310,127,,207,
S08000028,201310,4,,4,
S92000003,201310,1899,d,2426,d
S08000015,201309,0,,139,
S08000016,201309,47,,52,
S08000017,201309,88,,98,
S08000018,201309,187,,213,
S08000019,201309,84,,120,
S08000020,201309,,:,,:
S08000021,201309,401,,500,
S08000022,201309,130,,147,
S08000023,201309,243,,254,
S08000024,201309,331,,370,
S08000025,201309,6,,7,
S08000026,201309,7,,8,
S08000027,201309,130,,230,
S08000028,201309,8,,8,
S92000003,201309,1662,d y,2146,d y
S08000015,201308,28,,110,
S08000016,201308,32,,36,
S08000017,201308,55,,66,
S08000018,201308,114,,123,
S08000019,201308,70,,95,
S08000020,201308,,:,,:
S08000021,201308,426,,528,
S08000022,201308,84,,98,
S08000023,201308,185,,196,
S08000024,201308,283,,326,
S08000025,201308,3,,3,
S08000026,201308,9,,13,
S08000027,201308,116,,156,
S08000028,201308,3,,3,
S92000003,201308,1408,d y,1753,d y
S08000015,201307,100,,135,
S08000016,201307,40,,49,
S08000017,201307,60,,74,
S08000018,201307,118,,139,
S08000019,201307,74,,90,
S08000020,201307,,:,,:
S08000021,201307,337,,424,
S08000022,201307,65,,77,
S08000023,201307,160,,173,
S08000024,201307,290,,318,
S08000025,201307,2,,2,
S08000026,201307,6,,11,
S08000027,201307,119,,136,
S08000028,201307,5,,5,
S92000003,201307,1376,d y,1633,d y
S08000015,201306,114,,139,
S08000016,201306,30,,39,
S08000017,201306,87,,95,
S08000018,201306,122,,142,
S08000019,201306,90,,109,
S08000020,201306,,:,,:
S08000021,201306,336,,411,
S08000022,201306,93,,105,
S08000023,201306,242,,254,
S08000024,201306,302,,337,
S08000025,201306,9,,9,
S08000026,201306,7,,11,
S08000027,201306,159,,185,
S08000028,201306,1,,1,
S92000003,201306,1592,d y,1837,d y
S08000015,201305,116,,149,
S08000016,201305,51,,57,
S08000017,201305,58,,71,
S08000018,201305,164,,191,
S08000019,201305,104,,147,
S08000020,201305,,:,,:
S08000021,201305,349,,464,
S08000022,201305,99,,128,
S08000023,201305,266,,278,
S08000024,201305,377,,422,
S08000025,201305,3,,3,
S08000026,201305,14,,16,
S08000027,201305,160,,183,
S08000028,201305,10,,10,
S92000003,201305,1771,d y,2119,d y
S08000015,201304,101,,148,
S08000016,201304,45,,52,
S08000017,201304,51,,64,
S08000018,201304,130,,157,
S08000019,201304,85,,102,
S08000020,201304,,:,,:
S08000021,201304,327,,438,
S08000022,201304,53,,62,
S08000023,201304,213,,228,
S08000024,201304,323,,347,
S08000025,201304,10,,10,
S08000026,201304,6,,7,
S08000027,201304,142,,159,
S08000028,201304,6,,6,
S92000003,201304,1492,d y,1780,d y
S08000015,201303,133,,182,
S08000016,201303,79,,86,
S08000017,201303,86,,96,
S08000018,201303,139,,153,
S08000019,201303,93,,124,
S08000020,201303,,:,,:
S08000021,201303,412,,520,
S08000022,201303,89,,99,
S08000023,201303,264,,282,
S08000024,201303,341,,369,
S08000025,201303,4,,5,
S08000026,201303,7,,7,
S08000027,201303,188,,207,
S08000028,201303,8,,8,
S92000003,201303,1843,d y,2138,d y
S08000015,201302,103,,150,
S08000016,201302,58,,62,
S08000017,201302,61,,69,
S08000018,201302,134,,156,
S08000019,201302,107,,119,
S08000020,201302,,:,,:
S08000021,201302,355,,466,
S08000022,201302,101,,119,
S08000023,201302,253,,275,
S08000024,201302,330,,367,
S08000025,201302,5,,6,
S08000026,201302,4,,5,
S08000027,201302,175,,191,
S08000028,201302,6,,7,
S92000003,201302,1692,d y,1992,d y
S08000015,201301,121,,158,
S08000016,201301,64,,66,
S08000017,201301,77,,83,
S08000018,201301,132,,152,
S08000019,201301,79,,90,
S08000020,201301,,:,,:
S08000021,201301,335,,433,
S08000022,201301,107,,134,
S08000023,201301,231,,240,
S08000024,201301,362,,401,
S08000025,201301,7,,7,
S08000026,201301,6,,7,
S08000027,201301,141,,148,
S08000028,201301,7,,7,
S92000003,201301,1669,d y,1926,d y
S08000015,201212,96,,131,
S08000016,201212,55,,55,
S08000017,201212,65,,80,
S08000018,201212,119,,143,
S08000019,201212,60,,67,
S08000020,201212,,:,,:
S08000021,201212,302,,398,
S08000022,201212,113,,131,
S08000023,201212,214,,223,
S08000024,201212,289,,313,
S08000025,201212,11,,11,
S08000026,201212,5,,6,
S08000027,201212,144,,162,
S08000028,201212,13,,13,
S92000003,201212,1486,d y,1733,d y
S08000015,201211,86,,141,
S08000016,201211,55,,57,
S08000017,201211,62,,79,
S08000018,201211,149,,165,
S08000019,201211,105,,117,
S08000020,201211,,:,,:
S08000021,201211,430,,533,
S08000022,201211,126,,146,
S08000023,201211,263,,272,
S08000024,201211,330,,358,
S08000025,201211,11,,11,
S08000026,201211,8,,9,
S08000027,201211,171,,191,
S08000028,201211,18,,18,
S92000003,201211,1814,d y,2097,d y
S08000015,201210,98,,134,
S08000016,201210,57,,61,
S08000017,201210,68,,73,
S08000018,201210,120,,133,
S08000019,201210,107,,119,
S08000020,201210,,:,,:
S08000021,201210,414,,537,
S08000022,201210,106,,127,
S08000023,201210,244,,254,
S08000024,201210,317,,348,
S08000025,201210,6,,7,
S08000026,201210,10,,12,
S08000027,201210,130,,143,
S08000028,201210,8,,8,
S92000003,201210,1685,d y,1956,d y
S08000015,201209,41,,71,
S08000016,201209,51,,53,
S08000017,201209,60,,73,
S08000018,201209,137,,147,
S08000019,201209,51,,65,
S08000020,201209,,:,,:
S08000021,201209,272,,333,
S08000022,201209,82,,111,
S08000023,201209,187,,210,
S08000024,201209,229,,258,
S08000025,201209,,:,,:
S08000026,201209,6,,6,
S08000027,201209,121,,127,
S08000028,201209,16,,16,
S92000003,201209,1253,d y,1470,d y
S08000015,201208,33,,71,
S08000016,201208,41,,43,
S08000017,201208,51,,64,
S08000018,201208,120,,139,
S08000019,201208,60,,69,
S08000020,201208,,:,,:
S08000021,201208,286,,368,
S08000022,201208,58,,67,
S08000023,201208,183,,199,
S08000024,201208,203,,219,
S08000025,201208,,:,,:
S08000026,201208,6,,6,
S08000027,201208,127,,127,
S08000028,201208,23,,23,
S92000003,201208,1191,d y,1395,d y
S08000015,201207,41,,66,
S08000016,201207,30,,32,
S08000017,201207,50,,60,
S08000018,201207,105,,113,
S08000019,201207,53,,68,
S08000020,201207,,:,,:
S08000021,201207,245,,301,
S08000022,201207,67,,67,
S08000023,201207,139,,159,
S08000024,201207,200,,214,
S08000025,201207,,:,,:
S08000026,201207,,:,,:
S08000027,201207,90,,90,
S08000028,201207,15,,15,
S92000003,201207,1035,d y,1185,d y
